Reference,Value,ALTIUM_VALUE,Footprint,Qty,DNP
C1,CAP POL,220uF/50V,CAP-P-1W,1,
C2,Cap,104,C-1206,1,
C3,Cap,106,C-1206,1,
C4,Cap,104,C-1206,1,
C5,CAP POL,220uF/50V,CAP-P-1W,1,
C6,Cap,104,C-1206,1,
C7,CAP POL,220uF/50V,CAP-P-1W,1,
C8,CAP POL,1000uF/16V,CAP-P-2,1,
C9,CAP POL,1000uF/16V,CAP-P-2,1,
C10,Cap,104,CAP-NP-1,1,
C11,Cap,104,C-1206,1,
C12,Cap,104,C-1206,1,
C13,Cap,104,CAP-NP-1,1,
C14,Cap,104,C-1206,1,
C15,CAP POL,1000uF/16V,CAP-P-2,1,
C16,Cap,104,C-1206,1,
C17,CAP POL,220uF/50V,CAP-P-1W,1,
C18,Cap,104,C-1206,1,
C19,Cap,104,C-1206,1,
C20,CAP POL,220uF/50V,CAP-P-1W,1,
C21,Cap,104,C-1206,1,
C22,CAP POL,220uF/50V,CAP-P-1W,1,
C23,Cap,104,C-1206,1,
C24,CAP POL,1000uF/16V,CAP-P-2,1,
C25,CAP POL,1000uF/16V,CAP-P-2,1,
C26,Cap,104,C-1206,1,
C27,Cap,104,C-1206,1,
C28,Cap,104,C-1206,1,
C29,CAP POL,220uF/50V,CAP-P-1W,1,
C30,Cap,104,C-1206,1,
C31,CAP POL,220uF/50V,CAP-P-1W,1,
C32,Cap,104,C-1206,1,
C33,CAP POL,220uF/50V,CAP-P-1W,1,
C34,Cap,104,C-1206,1,
C35,Cap,104,C-1206,1,
C36,Cap,104,C-1206,1,
C37,CAP POL,1000uF/16V,CAP-P-2,1,
C38,CAP POL,1000uF/16V,CAP-P-2,1,
C39,Cap,104,C-1206,1,
C40,Cap,104,C-1206,1,
C41,Cap,104,C-1206,1,
C42,Cap,106,C-1206,1,
C43,Cap,104,C-1206,1,
C44,Cap,104,C-1206,1,
C45,Cap,101,C-1206,1,
C46,Cap,104,C-1206,1,
C47,Cap,106,C-1206,1,
C48,Cap,22pF,C-1206,1,
C49,Cap,22pF,C-1206,1,
C50,Cap,101,C-1206,1,
